ProviderType,DFTA ID,ProgramName,SponsorName,ProgramAddress,ProgramCity,ProgramState,Postcode,Borough,ProgramPhone,DFTA Funded,MonHourOpen,MonHourClose,TueHourOpen,TueHourClose,WedHourOpen,WedHourClose,ThuHourOpen,ThuHourClose,FriHourOpen,FriHourClose,SatHourOpen,SatHourClose,SunHourOpen,SunHourClose,Latitude,Longitude,Community Board,Council District,Census Tract,BIN,BBL,NTA,Location 1
OLDER ADULT CENTER CONTRACTS,2DB01,HOMECREST COMMUNITY SERVICES INC. (2DB),HOMECREST COMMUNITY SERVICES INC,1413 Avenue T,BROOKLYN,NY,11229,BROOKLYN,718-376-4036,Y,,,,,,,,,,,,,,,40.60102,-73.957543,315,48,556,3196793,3072930043,Homecrest,POINT (-73.957543 40.60102)
ELDER ABUSE SERVICES CONTRACTS,1E601,CARTER BURDEN ELDER ABUSE PREVENTION (1E6),CARTER BURDEN NETWORK INC.,312 East 109th Street,NEW YORK,NY,10029,MANHATTAN,212-879-7400,Y,,,,,,,,,,,,,,,40.792306,-73.94048,111,08,170,1074278,1016800045,East Harlem South,POINT (-73.94048 40.792306)
HOME DELIVERED MEAL SERVICE CONTRACTS,55701,MEALS ON WHEELS OF S.I (557),MEALS ON WHEELS OF STATEN ISLAND INC,304 Port Richmond Avenue,STATEN ISLAND,NY,10302,STATEN ISLAND,718-727-4435,Y,,,,,,,,,,,,,,,40.634061,-74.13606,501,49,213,5025678,5010890036,Port Richmond,POINT (-74.13606 40.634061)
HOMECARE SERVICES CONTRACTS,3HR01,NEW YORK FOUNDATION FOR SENIOR CITIZENS HOME ATTENDANT SERVICES INC. (3HR),NEW YORK FOUNDATION FOR SENIOR CITIZENS HOME ATTENDANT SERVI,11 PARK PLACE SUITE 1416,NEW YORK,NY,10007,MANHATTAN,212-962-7559,Y,,,,,,,,,,,,,,,40.712828,-74.008296,101,01,21,1001399,1001240004,SoHo-TriBeCa-Civic Center-Little Italy,POINT (-74.008296 40.712828)
HOMECARE SERVICES CONTRACTS,1HR01,PERSONAL TOUCH HOME CARE OF N.Y. INC (1HR),PERSONAL-TOUCH HOME CARE OF N.Y. INC.,36-36 33rd Street,LONG ISLAND CITY,NY,11106,QUEENS,718-468-2500,Y,,,,,,,,,,,,,,,40.755141,-73.928728,401,26,55,4007923,4006010001,Queensbridge-Ravenswood-Long Island City,POINT (-73.928728 40.755141)
OLDER ADULT CENTER CONTRACTS,C8301,JASA HES OLDER ADULT CENTER (C83),THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED,2705 Schley Avenue,BRONX,NY,10465,BRONX,718-251-3700,Y,08:00,04:00,08:00,04:00,08:00,04:00,08:00,04:00,08:00,04:00,00:00,00:00,00:00,00:00,40.821662,-73.827061,210,13,144,2080423,2055680050,Schuylerville-Throgs Neck-Edgewater Park,POINT (-73.827061 40.821662)
CAREGIVER SERVICES CONTRACTS,2K201,BROOKLYN CAREGIVER RESPITE PROGRAM (2K2),THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED,161 CORBIN PLACE,BROOKLYN,NY,11235,BROOKLYN,718-934-4180,Y,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,00:00,00:00,00:00,00:00,40.578026,-73.954127,315,48,61004,3245719,3087190073,Brighton Beach,POINT (-73.954127 40.578026)
HOME DELIVERED MEAL SERVICE CONTRACTS,6XQ01,METROPOLITAN NEW YORK COORDINATING COUNCIL ON JEWISH POVERTY (6XQ),METROPOLITAN NY COORDINATING COUNCIL ON JEWISH POVERTY D/B/A,77 Water Street,NEW YORK,NY,10005,MANHATTAN,212-453-9500,Y,,,,,,,,,,,,,,,40.704275,-74.008681,101,01,7,1000863,1000330001,Battery Park City-Lower Manhattan,POINT (-74.008681 40.704275)
HOMECARE SERVICES CONTRACTS,2HR01,NEW PARTNERS (2HR),NEW PARTNERS INC.,220 EAST   42 STREET,NEW YORK,NY,10017,MANHATTAN,212-609-7235,Y,,,,,,,,,,,,,,,40.750256,-73.973256,106,04,88,1037546,1013157501,Turtle Bay-East Midtown,POINT (-73.973256 40.750256)
OLDER ADULT CENTER CONTRACTS,C9901,JACKIE ROBINSON OLDER ADULT CENTER (C99),CHARLES A WALBURG MULTI SERVICE ORGANIZATION INC,1301 AMSTERDAM AVENUE,NEW YORK,NY,10027,MANHATTAN,212-222-2552,Y,,,,,,,,,,,,,,,40.811994,-73.957264,109,07,20901,1084095,1019640001,Morningside Heights,POINT (-73.957264 40.811994)
ELDER ABUSE SERVICES CONTRACTS,1E501,METROPOLITAN NEW YORK COORDINATING COUNCIL ON JEWISH POVERTY (1E5),METROPOLITAN NY COORDINATING COUNCIL ON JEWISH POVERTY D/B/A,77 Water Street,NEW YORK,NY,10005,MANHATTAN,212-453-9500,Y,,,,,,,,,,,,,,,40.704275,-74.008681,101,01,7,1000863,1000330001,Battery Park City-Lower Manhattan,POINT (-74.008681 40.704275)
HOME DELIVERED MEAL SERVICE CONTRACTS,CM501,CITYMEALS ON WHEELS (CM5),CITYMEALS-ON-WHEELS,355 Lexington Ave Fl 3,NEW YORK,NY,10017,MANHATTAN,212-687-1234,Y,,,,,,,,,,,,,,,40.750245,-73.976909,106,04,80,1036147,1012950023,Murray Hill-Kips Bay,POINT (-73.976909 40.750245)
ELDER ABUSE SERVICES CONTRACTS,1E301,ELDER JUSTICE PROGRAM - BRONX NORTH (1E3),THE NEIGHBORHOOD SELF-HELP BY OLDER PERSONS PROJECT INC,975 Kelly Street Suite 401,BRONX,NY,10459,BRONX,718-542-0006,Y,,,,,,,,,,,,,,,40.822052,-73.895879,202,17,87,2114693,2027037501,Longwood,POINT (-73.895879 40.822052)
CASE MANAGEMENT SERVICES CONTRACTS,3MA01,LENOX HILL NEIGHBORHOOD HOUSE (3MA),LENOX HILL NEIGHBORHOOD HOUSE INC,331 EAST   70 STREET,NEW YORK,NY,10021,MANHATTAN,212-744-5022,Y,,,,,,,,,,,,,,,40.766925,-73.95795,108,05,126,1044838,1014450014,Lenox Hill-Roosevelt Island,POINT (-73.95795 40.766925)
OLDER ADULT CENTER CONTRACTS,C8312,JASA LUNA PARK ANNEX (C83),THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED,2880 West 12th Street,BROOKLYN,NY,11224,BROOKLYN,718-388-6865,Y,08:00,04:00,08:00,04:00,08:00,04:00,08:00,04:00,08:00,04:00,00:00,00:00,00:00,00:00,40.577347,-73.979625,313,47,350,3196559,3072660060,West Brighton,POINT (-73.979625 40.577347)
OLDER ADULT CENTER CONTRACTS,C4101,HENRY STREET OLDER ADULT SENIOR CENTER (C41),HENRY STREET SETTLEMENT,334 Madison Street,NEW YORK,NY,10002,MANHATTAN,212-766-9200,Y,,,,,,,,,,,,,,,40.713266,-73.983237,103,02,202,1077526,1002600001,Lower East Side,POINT (-73.983237 40.713266)
NEW YORK CONNECTS CONTRACTS,5C401,CASC (5C4),COMMUNITY AGENCY FOR SENIOR CITIZENS INC,120 Stuyvesant Place Suite 409,STATEN ISLAND,NY,10301,STATEN ISLAND,718-981-6226,Y,,,,,,,,,,,,,,,40.643264,-74.077159,501,49,3,5000084,5000080060,West New Brighton-New Brighton-St. George,POINT (-74.077159 40.643264)
CASE MANAGEMENT SERVICES CONTRACTS,2MH01,CCNS BENSON RIDGE SENIOR SERVICES (2MH),CATHOLIC CHARITIES NEIGHBORHOOD SERVICES INC,6823 Fifth Avenue 3rd Floor,BROOKLYN,NY,11220,BROOKLYN,718-722-6000,Y,,,,,,,,,,,,,,,40.633953,-74.020799,310,43,130,3145313,3058650001,Bay Ridge,POINT (-74.020799 40.633953)
CITY MEALS ADMINISTRATIVE SERVICES CONTRACTS,CM601,CITYMEALS ON WHEELS (CM6),CITYMEALS-ON-WHEELS,355 Lexington Ave Fl 3,NEW YORK,NY,10017,MANHATTAN,212-687-1234,Y,,,,,,,,,,,,,,,40.750245,-73.976909,106,04,80,1036147,1012950023,Murray Hill-Kips Bay,POINT (-73.976909 40.750245)
CASE MANAGEMENT SERVICES CONTRACTS,3M801,NEW YORK FOUNDATION FOR SENIOR CITIZENS INC. (3M8),NEW YORK FOUNDATION FOR SENIOR CITIZENS INC,11 Park Place,NEW YORK,NY,10007,MANHATTAN,212-962-7653,Y,,,,,,,,,,,,,,,40.712828,-74.008296,101,01,21,1001399,1001240004,SoHo-TriBeCa-Civic Center-Little Italy,POINT (-74.008296 40.712828)
HOME DELIVERED MEAL SERVICE CONTRACTS,42R01,QUEENS COMM HOUSE HOME DELIVERED MEALS - QUEENS 5 (42R),QUEENS COMMUNITY HOUSE INC.,110-01 62nd Drive,FLUSHING,NY,11375,QUEENS,718-592-5757,Y,08:00,04:00,08:00,04:00,08:00,04:00,08:00,04:00,08:00,04:00,00:00,00:00,00:00,00:00,40.73591,-73.850212,406,29,745,4432108,4021590015,Forest Hills,POINT (-73.850212 40.73591)
NEW YORK CONNECTS CONTRACTS,1C401,NEIGHBORHOOD S.H.O.P.P. INC. (1C4),THE NEIGHBORHOOD SELF-HELP BY OLDER PERSONS PROJECT INC,975 Kelly Street Suite #301,BRONX,NY,10459,BRONX,718-542-0006,Y,,,,,,,,,,,,,,,40.822052,-73.895879,202,17,87,2114693,2027037501,Longwood,POINT (-73.895879 40.822052)
CASE MANAGEMENT SERVICES CONTRACTS,2ME01,HEIGHTS AND HILLS INC (2ME),HEIGHTS AND HILLS INC.,81 WILLOUGHBY STREET,BROOKLYN,NY,11201,BROOKLYN,718-596-8789,Y,,,,,,,,,,,,,,,40.692184,-73.985753,302,33,11,3000350,3001480046,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,POINT (-73.985753 40.692184)
NATURALLY OCCURING RETIREMENT COMMUNITY CONTRACTS,N6501,STANLEY M. ISAACS NEIGHBORHOOD CENTER INC. (N65),STANLEY M ISAACS NEIGHBORHOOD CENTER INC,415 EAST   93 STREET,NEW YORK,NY,10128,MANHATTAN,212-360-7620,Y,,,,,,,,,,,,,,,40.780904,-73.945112,108,05,152,1082367,1015730001,Yorkville,POINT (-73.945112 40.780904)
CASE MANAGEMENT SERVICES CONTRACTS,2MF01,SPECIAL SERVICES FOR SENIOR CITIZENS (2MF),RECREATION ROOMS AND SETTLEMENT INC,1304 EAST   57 STREET,BROOKLYN,NY,11234,BROOKLYN,718-257-1600,Y,,,,,,,,,,,,,,,40.621348,-73.920355,318,46,690,3345504,3078810033,Flatlands,POINT (-73.920355 40.621348)
CASE MANAGEMENT SERVICES CONTRACTS,2MJ01,JASA CASE MANAGEMENT BK-6 (2MJ),THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED,3161 Brighton 6th STR,BROOKLYN,NY,11235,BROOKLYN,212-273-5200,Y,,,,,,,,,,,,,,,40.575657,-73.961105,313,48,36002,3245130,3086930012,Brighton Beach,POINT (-73.961105 40.575657)
GERIATRIC MENTAL HEALTH SERVICES CONTRACTS,2G801,OHEL CHILDREN'S HOME AND FAMILY SERVICES INC. (2G8),OHEL CHILDREN'S HOME AND FAMILY SERVICES INC,1268 EAST   14 STREET,BROOKLYN,NY,11230,BROOKLYN,718-686-3222,Y,,,,,,,,,,,,,,,40.618643,-73.961112,314,44,768,3180645,3067330035,Midwood,POINT (-73.961112 40.618643)
CASE MANAGEMENT SERVICES CONTRACTS,1MA01,RAIN MULTI SERVICES (1MA),REGIONAL AID FOR INTERIM NEEDS INC,3377 White Plains Road,BRONX,NY,10467,BRONX,718-892-5520,Y,,,,,,,,,,,,,,,40.874872,-73.86706,212,12,374,2087299,2046240037,Williamsbridge-Olinville,POINT (-73.86706 40.874872)
GERIATRIC MENTAL HEALTH SERVICES CONTRACTS,6G801,GREENWICH HOUSE (6G8),GREENWICH HOUSE INC.,122 WEST   27 STREET,NEW YORK,NY,10001,MANHATTAN,212-991-0003,Y,,,,,,,,,,,,,,,40.745782,-73.991847,105,03,95,1015051,1008020056,Midtown-Midtown South,POINT (-73.991847 40.745782)
GERIATRIC MENTAL HEALTH SERVICES CONTRACTS,4G801,SAM FIELD (4G8),SAMUEL FIELD YM & YWHA INC,58-20 LITTLE NECK PARKWAY,FLUSHING,NY,11362,QUEENS,718-225-6750,Y,,,,,,,,,,,,,,,40.761577,-73.723122,411,23,152902,4173029,4083520051,Douglas Manor-Douglaston-Little Neck,POINT (-73.723122 40.761577)
GERIATRIC MENTAL HEALTH SERVICES CONTRACTS,3G101,SERVICE PROGRAM FOR OLDER PEOPLE INC. (3G1),SERVICE PROGRAM FOR OLDER PEOPLE INC,302 WEST   91 STREET,NEW YORK,NY,10024,MANHATTAN,212-787-7120,Y,,,,,,,,,,,,,,,40.792171,-73.975796,107,06,179,1034085,1012510022,Upper West Side,POINT (-73.975796 40.792171)
CASE MANAGEMENT SERVICES CONTRACTS,5M401,CASC (5M4),COMMUNITY AGENCY FOR SENIOR CITIZENS INC,120 Stuyvesant Place Suite 409,STATEN ISLAND,NY,10301,STATEN ISLAND,718-981-6226,Y,,,,,,,,,,,,,,,40.643264,-74.077159,501,49,3,5000084,5000080060,West New Brighton-New Brighton-St. George,POINT (-74.077159 40.643264)
CASE MANAGEMENT SERVICES CONTRACTS,1M901,CASE MANAGEMENT PROGRAM (1M9),THE NEIGHBORHOOD SELF-HELP BY OLDER PERSONS PROJECT INC,910 East 172 Street 2nd Fl.,BRONX,NY,10460,BRONX,718-542-0006,Y,,,,,,,,,,,,,,,40.834198,-73.890157,203,17,155,2010507,2029770103,Crotona Park East,POINT (-73.890157 40.834198)
CASE MANAGEMENT SERVICES CONTRACTS,2MG01,JASA CASE MANAGEMENT BK-4 (2MG),THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED,2211 CHURCH AVENUE,BROOKLYN,NY,11226,BROOKLYN,212-273-5200,Y,,,,,,,,,,,,,,,40.650424,-73.958175,314,40,79602,3116881,3050890071,Prospect Lefferts Gardens-Wingate,POINT (-73.958175 40.650424)
GERIATRIC MENTAL HEALTH SERVICES CONTRACTS,5G301,WEILL CORNELL MEDICINE (5G3),WEILL MEDICAL COLLEGE OF CORNELL UNIVERSITY,21 BLOOMINGDALE RD,WHITE PLAINS,NY,10605,,646-962-8290,Y,,,,,,,,,,,,,,,,,,,,,,,
CASE MANAGEMENT SERVICES CONTRACTS,4MH01,JASA CASE MANAGEMENT (4MH),THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED,131 BEACH   19 STREET,FAR ROCKAWAY,NY,11691,QUEENS,212-273-5200,Y,,,,,,,,,,,,,,,40.593761,-73.753207,414,31,99802,4301622,4158100055,Far Rockaway-Bayswater,POINT (-73.753207 40.593761)
CASE MANAGEMENT SERVICES CONTRACTS,3MB01,ISABELLA GERIATRIC CENTER (3MB),ISABELLA GERIATRIC CENTER INC,515 AUDUBON AVENUE,NEW YORK,NY,10040,MANHATTAN,212-342-9307,Y,,,,,,,,,,,,,,,40.854783,-73.927909,112,10,277,1063861,1021600001,Washington Heights North,POINT (-73.927909 40.854783)
CASE MANAGEMENT SERVICES CONTRACTS,4MG01,SNAP EASTERN QUEENS OAC (ISC) (4MG),SERVICES NOW FOR ADULT PERSONS INC,80-45 Winchester Blvd.,JAMAICA,NY,11427,QUEENS,718-454-2100,Y,,,,,,,,,,,,,,,40.737685,-73.734021,413,23,1567,4537294,4078800400,Bellerose,POINT (-73.734021 40.737685)
CASE MANAGEMENT SERVICES CONTRACTS,4MB01,SUNNYSIDE COMMUNITY SERVICES (4MB),SUNNYSIDE COMMUNITY SERVICES INC,43-31 39th St,LONG ISLAND CITY,NY,11104,QUEENS,718-784-6173,Y,,,,,,,,,,,,,,,40.74519,-73.925909,402,26,179,4436677,4001910005,Hunters Point-Sunnyside-West Maspeth,POINT (-73.925909 40.74519)
CASE MANAGEMENT SERVICES CONTRACTS,4MD01,QCH CASE MANAGEMENT (4MD),QUEENS COMMUNITY HOUSE INC.,107-20 71 Road,FLUSHING,NY,11375,QUEENS,718-592-5757,Y,,,,,,,,,,,,,,,40.720067,-73.843469,406,29,737,4533735,4032577501,Forest Hills,POINT (-73.843469 40.720067)
OLDER ADULT CENTER CONTRACTS,C5502,POLISH AND SLAVIC CENTER INC (C55),POLISH & SLAVIC CENTER INC,176 Java Street,BROOKLYN,NY,11222,BROOKLYN,718-383-5290,Y,,,,,,,,,,,,,,,40.731692,-73.953577,301,33,575,3064615,3025510014,Greenpoint,POINT (-73.953577 40.731692)
NEW YORK CONNECTS CONTRACTS,6C401,PSS NY CONNECTS (6C4),PRESBYTERIAN SENIOR SERVICES,1655 Flatbush Avenue,BROOKLYN,NY,11210,BROOKLYN,212-874-6633,Y,,,,,,,,,,,,,,,40.630096,-73.944757,318,45,776,3206459,3075790010,Flatlands,POINT (-73.944757 40.630096)
CASE MANAGEMENT SERVICES CONTRACTS,2MK01,JASA CASE MANAGEMENT BK-7 (2MK),THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED,161 Corbin Place,BROOKLYN,NY,11235,BROOKLYN,212-273-5200,Y,,,,,,,,,,,,,,,40.578026,-73.954127,315,48,61004,3245719,3087190073,Brighton Beach,POINT (-73.954127 40.578026)
CASE MANAGEMENT SERVICES CONTRACTS,4MF01,SOUTHWEST QUEENS SENIOR CENTER (4MF),CATHOLIC CHARITIES NEIGHBORHOOD SERVICES INC,183-16 Jamaica Avenue,JAMAICA,NY,11423,QUEENS,718-722-6000,Y,,,,,,,,,,,,,,,40.708932,-73.776983,412,27,444,4438800,4103520058,Jamaica,POINT (-73.776983 40.708932)
GERIATRIC MENTAL HEALTH SERVICES CONTRACTS,1G701,JASA GERIATRIC MENTAL HEALTH (1G7),THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED,1490 SOUTHERN BLVD FRNT,BRONX,NY,10460,BRONX,212-273-5200,Y,,,,,,,,,,,,,,,40.833248,-73.890198,203,17,157,2010571,2029810014,Crotona Park East,POINT (-73.890198 40.833248)
LEGAL SERVICES CONTRACTS,20I01,LEGAL SERVICES NYC (20I),BROOKLYN LEGAL SERVICES INC,40 Worth Street Suite 606,NEW YORK,NY,10013,MANHATTAN,917-661-4500,Y,09:00,04:30,09:00,04:30,09:00,04:30,09:00,04:30,09:00,04:30,00:00,00:00,00:00,00:00,40.717363,-74.006897,101,01,33,1001622,1001480015,SoHo-TriBeCa-Civic Center-Little Italy,POINT (-74.006897 40.717363)
OLDER ADULT CENTER CONTRACTS,C9004,WAYSIDE OUT LANGSTON HUGHES SOCIAL CLUB (C90),WAYSIDE OUT-REACH DEVELOPMENT INC,301 Sutter Avenue,BROOKLYN,NY,11212,BROOKLYN,917-962-8277,Y,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,00:00,00:00,00:00,00:00,40.667312,-73.909072,316,41,906,3348344,3035260021,Brownsville,POINT (-73.909072 40.667312)
NATURALLY OCCURING RETIREMENT COMMUNITY CONTRACTS,N6101,SAMUEL FIELD Y CLEARVIEW GARDENS NORC (N61),SAMUEL FIELD YM & YWHA INC,163-59 17TH AVENUE,FLUSHING,NY,11357,QUEENS,718-352-4157,Y,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,00:00,00:00,00:00,00:00,40.782976,-73.798982,407,19,1017,4444920,4057300001,Ft. Totten-Bay Terrace-Clearview,POINT (-73.798982 40.782976)
OLDER ADULT CENTER CONTRACTS,C4704,JCCGCI KINGS HIGHWAY OLDER ADULT CENTER (C47),JEWISH COMMUNITY COUNCIL OF GREATER CONEY ISLAND INC,1879 East 3rd Street,BROOKLYN,NY,11223,BROOKLYN,917-596-0761,Y,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,00:00,00:00,00:00,00:00,40.604098,-73.969944,315,47,41402,3178594,3066810225,Homecrest,POINT (-73.969944 40.604098)
OLDER ADULT CENTER CONTRACTS,C0201,ALLEN AME THEODORA JACKSON CENTER (C02),ALLEN AME CHURCH dba ALLEN COMMUNITY SENIOR CITIZENS CENTER,92-47 165th St Jamaica NY 11433,JAMAICA,NY,11433,QUEENS,929-357-9552,Y,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,00:00,00:00,00:00,00:00,40.704457,-73.794108,412,27,444,4216225,4101550029,Jamaica,POINT (-73.794108 40.704457)
NATURALLY OCCURING RETIREMENT COMMUNITY CONTRACTS,N5901,FOREST HILLS COMMUNITY HOUSE NORC (N59),QUEENS COMMUNITY HOUSE INC.,108-03 62ND DRIVE,FLUSHING,NY,11375,QUEENS,718-760-5231,Y,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,00:00,00:00,00:00,00:00,40.735716,-73.850833,406,29,745,4432109,4021590002,Forest Hills,POINT (-73.850833 40.735716)
NATURALLY OCCURING RETIREMENT COMMUNITY CONTRACTS,N6202,SELFHELP BIG SIX NORC (N62),SELFHELP COMMUNITY SERVICES INC,61-10 QUEENS BLVD.,FLUSHING,NY,11377,QUEENS,718-565-6569,Y,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,00:00,00:00,00:00,00:00,40.741347,-73.903226,402,26,245,4437383,4023140100,Woodside,POINT (-73.903226 40.741347)
NATURALLY OCCURING RETIREMENT COMMUNITY CONTRACTS,N6204,SELFHELP FRESH MEADOWS NORC (N62),SELFHELP COMMUNITY SERVICES INC,67-00 192ND STREET,FLUSHING,NY,11365,QUEENS,718-559-4330,Y,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,00:00,00:00,00:00,00:00,40.737813,-73.781534,408,23,1347,4444040,4071170003,Fresh Meadows-Utopia,POINT (-73.781534 40.737813)
NATURALLY OCCURING RETIREMENT COMMUNITY CONTRACTS,N6203,SELFHELP NORTHRIDGE 11-BRULENE NORC (N62),SELFHELP COMMUNITY SERVICES INC,33-45 90TH STREET,FLUSHING,NY,11372,QUEENS,718-396-5425,Y,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,00:00,00:00,00:00,00:00,40.75489,-73.877655,403,25,277,4431400,4014380001,Jackson Heights,POINT (-73.877655 40.75489)
HOME DELIVERED MEAL SERVICE CONTRACTS,42N01,CCNS HOME DELIVERED MEALS - QUEENS 1 (42N),CATHOLIC CHARITIES NEIGHBORHOOD SERVICES INC,91-34 182nd Place - 2nd floor,JAMAICA,NY,11423,QUEENS,718-806-1080,Y,08:00,04:00,08:00,04:00,08:00,04:00,08:00,04:00,08:00,04:00,00:00,00:00,00:00,00:00,40.763727,-73.87957,403,22,329,4032388,4013630011,Jackson Heights,POINT (-73.87957 40.763727)
HOME DELIVERED MEAL SERVICE CONTRACTS,54201,MOW SI HOME DELIVERED MEALS - STATEN ISLAND 1 (542),MEALS ON WHEELS OF STATEN ISLAND INC,304 Port Richmond Ave.,STATEN ISLAND,NY,10302,STATEN ISLAND,718-727-4435,Y,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,00:00,00:00,00:00,00:00,40.634061,-74.13606,501,49,213,5025678,5010890036,Port Richmond,POINT (-74.13606 40.634061)
