ProviderType,DFTA ID,ContractYear,SponsorName,ProgramName,ServiceID,ServiceName,BudgetedUnits
CAREGIVER SERVICES CONTRACTS,2K401,2019,HEIGHTS AND HILLS INC.,HEIGHTS AND HILL CAREGIVER PROGRAM,COTR,CRGV OUTREACH,400
CAREGIVER SERVICES CONTRACTS,2K401,2019,HEIGHTS AND HILLS INC.,HEIGHTS AND HILL CAREGIVER PROGRAM,CPUB,CRGV PUBLIC INFO,200
CAREGIVER SERVICES CONTRACTS,2K401,2019,HEIGHTS AND HILLS INC.,HEIGHTS AND HILL CAREGIVER PROGRAM,CRTR,CRGV TRAINING,100
CAREGIVER SERVICES CONTRACTS,2K401,2019,HEIGHTS AND HILLS INC.,HEIGHTS AND HILL CAREGIVER PROGRAM,CSUG,CRGV SUPPORT GROUPS,150
CAREGIVER SERVICES CONTRACTS,2K401,2019,HEIGHTS AND HILLS INC.,HEIGHTS AND HILL CAREGIVER PROGRAM,GPRS,CRGV GROUP RESPITE,2000
CAREGIVER SERVICES CONTRACTS,2K401,2019,HEIGHTS AND HILLS INC.,HEIGHTS AND HILL CAREGIVER PROGRAM,INRS,CRGV INDIVIDUAL RESPITE,9500
CAREGIVER SERVICES CONTRACTS,2K401,2019,HEIGHTS AND HILLS INC.,HEIGHTS AND HILL CAREGIVER PROGRAM,SUPS,CRGV SUPPLEMENTAL SERV,1090
CAREGIVER SERVICES CONTRACTS,4K101,2019,SUNNYSIDE COMMUNITY SERVICES INC,WQCN AT SUNNYSIDE COMMUNITY SERVICES,CAST,CRGV ASSISTANCE,372
CAREGIVER SERVICES CONTRACTS,4K101,2019,SUNNYSIDE COMMUNITY SERVICES INC,WQCN AT SUNNYSIDE COMMUNITY SERVICES,CCNS,CRGV COUNSELING,425
CAREGIVER SERVICES CONTRACTS,4K101,2019,SUNNYSIDE COMMUNITY SERVICES INC,WQCN AT SUNNYSIDE COMMUNITY SERVICES,CINF,CRGV INFORMATION,300
CAREGIVER SERVICES CONTRACTS,4K101,2019,SUNNYSIDE COMMUNITY SERVICES INC,WQCN AT SUNNYSIDE COMMUNITY SERVICES,CORS,CRGV OTHER RESPITE,28
CAREGIVER SERVICES CONTRACTS,4K101,2019,SUNNYSIDE COMMUNITY SERVICES INC,WQCN AT SUNNYSIDE COMMUNITY SERVICES,COTR,CRGV OUTREACH,150
CAREGIVER SERVICES CONTRACTS,4K101,2019,SUNNYSIDE COMMUNITY SERVICES INC,WQCN AT SUNNYSIDE COMMUNITY SERVICES,CPUB,CRGV PUBLIC INFO,450
CAREGIVER SERVICES CONTRACTS,4K101,2019,SUNNYSIDE COMMUNITY SERVICES INC,WQCN AT SUNNYSIDE COMMUNITY SERVICES,CRTR,CRGV TRAINING,125
CAREGIVER SERVICES CONTRACTS,4K101,2019,SUNNYSIDE COMMUNITY SERVICES INC,WQCN AT SUNNYSIDE COMMUNITY SERVICES,CSUG,CRGV SUPPORT GROUPS,200
CAREGIVER SERVICES CONTRACTS,4K101,2019,SUNNYSIDE COMMUNITY SERVICES INC,WQCN AT SUNNYSIDE COMMUNITY SERVICES,GPRS,CRGV GROUP RESPITE,2370
CAREGIVER SERVICES CONTRACTS,4K101,2019,SUNNYSIDE COMMUNITY SERVICES INC,WQCN AT SUNNYSIDE COMMUNITY SERVICES,INRS,CRGV INDIVIDUAL RESPITE,8112
CAREGIVER SERVICES CONTRACTS,4K101,2019,SUNNYSIDE COMMUNITY SERVICES INC,WQCN AT SUNNYSIDE COMMUNITY SERVICES,SUPS,CRGV SUPPLEMENTAL SERV,634
CAREGIVER SERVICES CONTRACTS,4K301,2019,SERVICES NOW FOR ADULT PERSONS INC,CAREGIVER PROGRAM OF SNAP,CAST,CRGV ASSISTANCE,150
CAREGIVER SERVICES CONTRACTS,4K301,2019,SERVICES NOW FOR ADULT PERSONS INC,CAREGIVER PROGRAM OF SNAP,CCNS,CRGV COUNSELING,150
CAREGIVER SERVICES CONTRACTS,4K301,2019,SERVICES NOW FOR ADULT PERSONS INC,CAREGIVER PROGRAM OF SNAP,CINF,CRGV INFORMATION,500
CAREGIVER SERVICES CONTRACTS,4K301,2019,SERVICES NOW FOR ADULT PERSONS INC,CAREGIVER PROGRAM OF SNAP,CORS,CRGV OTHER RESPITE,82
CAREGIVER SERVICES CONTRACTS,4K301,2019,SERVICES NOW FOR ADULT PERSONS INC,CAREGIVER PROGRAM OF SNAP,COTR,CRGV OUTREACH,100
CAREGIVER SERVICES CONTRACTS,4K301,2019,SERVICES NOW FOR ADULT PERSONS INC,CAREGIVER PROGRAM OF SNAP,CPUB,CRGV PUBLIC INFO,500
CAREGIVER SERVICES CONTRACTS,4K301,2019,SERVICES NOW FOR ADULT PERSONS INC,CAREGIVER PROGRAM OF SNAP,CRTR,CRGV TRAINING,300
CAREGIVER SERVICES CONTRACTS,4K301,2019,SERVICES NOW FOR ADULT PERSONS INC,CAREGIVER PROGRAM OF SNAP,CSUG,CRGV SUPPORT GROUPS,300
CAREGIVER SERVICES CONTRACTS,4K301,2019,SERVICES NOW FOR ADULT PERSONS INC,CAREGIVER PROGRAM OF SNAP,GPRS,CRGV GROUP RESPITE,4882
CAREGIVER SERVICES CONTRACTS,4K301,2019,SERVICES NOW FOR ADULT PERSONS INC,CAREGIVER PROGRAM OF SNAP,INRS,CRGV INDIVIDUAL RESPITE,6660
CAREGIVER SERVICES CONTRACTS,4K301,2019,SERVICES NOW FOR ADULT PERSONS INC,CAREGIVER PROGRAM OF SNAP,SUPS,CRGV SUPPLEMENTAL SERV,1000
CAREGIVER SERVICES CONTRACTS,5K101,2019,JEWISH COMMUNITY CENTER OF STATEN ISLAND INC,JCC OF SI CAREGIVER SERVICES,CAST,CRGV ASSISTANCE,230
CAREGIVER SERVICES CONTRACTS,5K101,2019,JEWISH COMMUNITY CENTER OF STATEN ISLAND INC,JCC OF SI CAREGIVER SERVICES,CCNS,CRGV COUNSELING,300
CAREGIVER SERVICES CONTRACTS,5K101,2019,JEWISH COMMUNITY CENTER OF STATEN ISLAND INC,JCC OF SI CAREGIVER SERVICES,CINF,CRGV INFORMATION,403
CAREGIVER SERVICES CONTRACTS,5K101,2019,JEWISH COMMUNITY CENTER OF STATEN ISLAND INC,JCC OF SI CAREGIVER SERVICES,CORS,CRGV OTHER RESPITE,60
CAREGIVER SERVICES CONTRACTS,5K101,2019,JEWISH COMMUNITY CENTER OF STATEN ISLAND INC,JCC OF SI CAREGIVER SERVICES,COTR,CRGV OUTREACH,450
CAREGIVER SERVICES CONTRACTS,5K101,2019,JEWISH COMMUNITY CENTER OF STATEN ISLAND INC,JCC OF SI CAREGIVER SERVICES,CPUB,CRGV PUBLIC INFO,150
CAREGIVER SERVICES CONTRACTS,5K101,2019,JEWISH COMMUNITY CENTER OF STATEN ISLAND INC,JCC OF SI CAREGIVER SERVICES,CRTR,CRGV TRAINING,300
CAREGIVER SERVICES CONTRACTS,5K101,2019,JEWISH COMMUNITY CENTER OF STATEN ISLAND INC,JCC OF SI CAREGIVER SERVICES,CSUG,CRGV SUPPORT GROUPS,450
CAREGIVER SERVICES CONTRACTS,5K101,2019,JEWISH COMMUNITY CENTER OF STATEN ISLAND INC,JCC OF SI CAREGIVER SERVICES,GPRS,CRGV GROUP RESPITE,10488
CAREGIVER SERVICES CONTRACTS,5K101,2019,JEWISH COMMUNITY CENTER OF STATEN ISLAND INC,JCC OF SI CAREGIVER SERVICES,INRS,CRGV INDIVIDUAL RESPITE,5617
CAREGIVER SERVICES CONTRACTS,5K101,2019,JEWISH COMMUNITY CENTER OF STATEN ISLAND INC,JCC OF SI CAREGIVER SERVICES,SUPS,CRGV SUPPLEMENTAL SERV,1146
CAREGIVER SERVICES CONTRACTS,6K101,2019,HAMILTON MADISON HOUSE INC,HMH CAREGIVER SERVICES MANHATTAN,CAST,CRGV ASSISTANCE,900
CAREGIVER SERVICES CONTRACTS,6K101,2019,HAMILTON MADISON HOUSE INC,HMH CAREGIVER SERVICES MANHATTAN,CCNS,CRGV COUNSELING,475
CAREGIVER SERVICES CONTRACTS,6K101,2019,HAMILTON MADISON HOUSE INC,HMH CAREGIVER SERVICES MANHATTAN,CINF,CRGV INFORMATION,200
CAREGIVER SERVICES CONTRACTS,6K101,2019,HAMILTON MADISON HOUSE INC,HMH CAREGIVER SERVICES MANHATTAN,CORS,CRGV OTHER RESPITE,12
CAREGIVER SERVICES CONTRACTS,6K101,2019,HAMILTON MADISON HOUSE INC,HMH CAREGIVER SERVICES MANHATTAN,COTR,CRGV OUTREACH,700
CAREGIVER SERVICES CONTRACTS,6K101,2019,HAMILTON MADISON HOUSE INC,HMH CAREGIVER SERVICES MANHATTAN,CPUB,CRGV PUBLIC INFO,400
CAREGIVER SERVICES CONTRACTS,6K101,2019,HAMILTON MADISON HOUSE INC,HMH CAREGIVER SERVICES MANHATTAN,CRTR,CRGV TRAINING,200
CAREGIVER SERVICES CONTRACTS,6K101,2019,HAMILTON MADISON HOUSE INC,HMH CAREGIVER SERVICES MANHATTAN,CSUG,CRGV SUPPORT GROUPS,75
CAREGIVER SERVICES CONTRACTS,6K101,2019,HAMILTON MADISON HOUSE INC,HMH CAREGIVER SERVICES MANHATTAN,GPRS,CRGV GROUP RESPITE,5305
CAREGIVER SERVICES CONTRACTS,6K101,2019,HAMILTON MADISON HOUSE INC,HMH CAREGIVER SERVICES MANHATTAN,INRS,CRGV INDIVIDUAL RESPITE,5150
CAREGIVER SERVICES CONTRACTS,6K101,2019,HAMILTON MADISON HOUSE INC,HMH CAREGIVER SERVICES MANHATTAN,SUPS,CRGV SUPPLEMENTAL SERV,1300
CAREGIVER SERVICES CONTRACTS,6K301,2019,SERVICES AND ADVOCACY FOR GAYLESBIANBISEXUAL AND TRANSGEND,PARTNERS IN CARING AT SAGE,CAST,CRGV ASSISTANCE,500
CAREGIVER SERVICES CONTRACTS,6K301,2019,SERVICES AND ADVOCACY FOR GAYLESBIANBISEXUAL AND TRANSGEND,PARTNERS IN CARING AT SAGE,CCNS,CRGV COUNSELING,200
CAREGIVER SERVICES CONTRACTS,6K301,2019,SERVICES AND ADVOCACY FOR GAYLESBIANBISEXUAL AND TRANSGEND,PARTNERS IN CARING AT SAGE,CINF,CRGV INFORMATION,325
CAREGIVER SERVICES CONTRACTS,6K301,2019,SERVICES AND ADVOCACY FOR GAYLESBIANBISEXUAL AND TRANSGEND,PARTNERS IN CARING AT SAGE,CORS,CRGV OTHER RESPITE,12
CAREGIVER SERVICES CONTRACTS,6K301,2019,SERVICES AND ADVOCACY FOR GAYLESBIANBISEXUAL AND TRANSGEND,PARTNERS IN CARING AT SAGE,COTR,CRGV OUTREACH,400
CAREGIVER SERVICES CONTRACTS,6K301,2019,SERVICES AND ADVOCACY FOR GAYLESBIANBISEXUAL AND TRANSGEND,PARTNERS IN CARING AT SAGE,CPUB,CRGV PUBLIC INFO,200
CAREGIVER SERVICES CONTRACTS,6K301,2019,SERVICES AND ADVOCACY FOR GAYLESBIANBISEXUAL AND TRANSGEND,PARTNERS IN CARING AT SAGE,CRTR,CRGV TRAINING,100
CAREGIVER SERVICES CONTRACTS,6K301,2019,SERVICES AND ADVOCACY FOR GAYLESBIANBISEXUAL AND TRANSGEND,PARTNERS IN CARING AT SAGE,CSUG,CRGV SUPPORT GROUPS,450
CAREGIVER SERVICES CONTRACTS,6K301,2019,SERVICES AND ADVOCACY FOR GAYLESBIANBISEXUAL AND TRANSGEND,PARTNERS IN CARING AT SAGE,GPRS,CRGV GROUP RESPITE,840
CAREGIVER SERVICES CONTRACTS,6K301,2019,SERVICES AND ADVOCACY FOR GAYLESBIANBISEXUAL AND TRANSGEND,PARTNERS IN CARING AT SAGE,INRS,CRGV INDIVIDUAL RESPITE,8743
CAREGIVER SERVICES CONTRACTS,6K301,2019,SERVICES AND ADVOCACY FOR GAYLESBIANBISEXUAL AND TRANSGEND,PARTNERS IN CARING AT SAGE,SUPS,CRGV SUPPLEMENTAL SERV,1114
CAREGIVER SERVICES CONTRACTS,6K501,2019,VISIONS/SERVICES FOR THE BLIND AND VISUALLY IMPAIRED,VISIONS CAREGIVER PROGRAM,CAST,CRGV ASSISTANCE,350
CAREGIVER SERVICES CONTRACTS,6K501,2019,VISIONS/SERVICES FOR THE BLIND AND VISUALLY IMPAIRED,VISIONS CAREGIVER PROGRAM,CCNS,CRGV COUNSELING,300
CAREGIVER SERVICES CONTRACTS,6K501,2019,VISIONS/SERVICES FOR THE BLIND AND VISUALLY IMPAIRED,VISIONS CAREGIVER PROGRAM,CINF,CRGV INFORMATION,400
CAREGIVER SERVICES CONTRACTS,6K501,2019,VISIONS/SERVICES FOR THE BLIND AND VISUALLY IMPAIRED,VISIONS CAREGIVER PROGRAM,CORS,CRGV OTHER RESPITE,1290
CAREGIVER SERVICES CONTRACTS,6K501,2019,VISIONS/SERVICES FOR THE BLIND AND VISUALLY IMPAIRED,VISIONS CAREGIVER PROGRAM,COTR,CRGV OUTREACH,200
CAREGIVER SERVICES CONTRACTS,6K501,2019,VISIONS/SERVICES FOR THE BLIND AND VISUALLY IMPAIRED,VISIONS CAREGIVER PROGRAM,CPUB,CRGV PUBLIC INFO,400
CAREGIVER SERVICES CONTRACTS,6K501,2019,VISIONS/SERVICES FOR THE BLIND AND VISUALLY IMPAIRED,VISIONS CAREGIVER PROGRAM,CRTR,CRGV TRAINING,370
CAREGIVER SERVICES CONTRACTS,6K501,2019,VISIONS/SERVICES FOR THE BLIND AND VISUALLY IMPAIRED,VISIONS CAREGIVER PROGRAM,CSUG,CRGV SUPPORT GROUPS,80
CAREGIVER SERVICES CONTRACTS,6K501,2019,VISIONS/SERVICES FOR THE BLIND AND VISUALLY IMPAIRED,VISIONS CAREGIVER PROGRAM,GPRS,CRGV GROUP RESPITE,1320
CAREGIVER SERVICES CONTRACTS,6K501,2019,VISIONS/SERVICES FOR THE BLIND AND VISUALLY IMPAIRED,VISIONS CAREGIVER PROGRAM,INRS,CRGV INDIVIDUAL RESPITE,6028
CAREGIVER SERVICES CONTRACTS,6K501,2019,VISIONS/SERVICES FOR THE BLIND AND VISUALLY IMPAIRED,VISIONS CAREGIVER PROGRAM,SUPS,CRGV SUPPLEMENTAL SERV,1200
CASE MANAGEMENT SERVICES CONTRACTS,1M901,2019,THE NEIGHBORHOOD SELF-HELP BY OLDER PERSONS PROJECT INC,NEIGHBORHOOD SHOPP CASE MANAGEMENT BX-1,CMSP,CSMG SUPPLEMENTAL,1210
CASE MANAGEMENT SERVICES CONTRACTS,1M901,2019,THE NEIGHBORHOOD SELF-HELP BY OLDER PERSONS PROJECT INC,NEIGHBORHOOD SHOPP CASE MANAGEMENT BX-1,CSMG,CASE MANAGEMENT,22909
CASE MANAGEMENT SERVICES CONTRACTS,1MA01,2019,REGIONAL AID FOR INTERIM NEEDS INC,RAIN CASE MANAGEMENT BX-2,CMSP,CSMG SUPPLEMENTAL,66
CASE MANAGEMENT SERVICES CONTRACTS,1MA01,2019,REGIONAL AID FOR INTERIM NEEDS INC,RAIN CASE MANAGEMENT BX-2,CSMG,CASE MANAGEMENT,28774
CASE MANAGEMENT SERVICES CONTRACTS,1MB01,2019,JEWISH ASSOCIATION FOR SERVICES FOR THE AGED,JASA CASE MANAGEMENT BX-03,CMSP,CSMG SUPPLEMENTAL,75
CASE MANAGEMENT SERVICES CONTRACTS,1MB01,2019,JEWISH ASSOCIATION FOR SERVICES FOR THE AGED,JASA CASE MANAGEMENT BX-03,CSMG,CASE MANAGEMENT,21826
CASE MANAGEMENT SERVICES CONTRACTS,2ME01,2019,HEIGHTS AND HILLS INC.,HEIGHTS AND HILLS CASE MANAGEMENT BK-02,CMSP,CSMG SUPPLEMENTAL,28
CASE MANAGEMENT SERVICES CONTRACTS,2ME01,2019,HEIGHTS AND HILLS INC.,HEIGHTS AND HILLS CASE MANAGEMENT BK-02,CSMG,CASE MANAGEMENT,24819
CASE MANAGEMENT SERVICES CONTRACTS,2MF01,2019,RECREATION ROOMS AND SETTLEMENT INC,SPECIAL SVCS. FOR SR. CASE MANG. BK-3,CMSP,CSMG SUPPLEMENTAL,30
CASE MANAGEMENT SERVICES CONTRACTS,2MF01,2019,RECREATION ROOMS AND SETTLEMENT INC,SPECIAL SVCS. FOR SR. CASE MANG. BK-3,CSMG,CASE MANAGEMENT,31768
CASE MANAGEMENT SERVICES CONTRACTS,2MG01,2019,JEWISH ASSOCIATION FOR SERVICES FOR THE AGED,JASA CASE MANAGEMENT BK-4,CMSP,CSMG SUPPLEMENTAL,225
CASE MANAGEMENT SERVICES CONTRACTS,2MG01,2019,JEWISH ASSOCIATION FOR SERVICES FOR THE AGED,JASA CASE MANAGEMENT BK-4,CSMG,CASE MANAGEMENT,23447
CASE MANAGEMENT SERVICES CONTRACTS,2MH01,2019,CATHOLIC CHARITIES NEIGHBORHOOD SERVICES INC,BENSON RIDGE CASE MANAGEMENT BK-5,CMSP,CSMG SUPPLEMENTAL,90
CASE MANAGEMENT SERVICES CONTRACTS,2MH01,2019,CATHOLIC CHARITIES NEIGHBORHOOD SERVICES INC,BENSON RIDGE CASE MANAGEMENT BK-5,CSMG,CASE MANAGEMENT,17307
CASE MANAGEMENT SERVICES CONTRACTS,2MJ01,2019,JEWISH ASSOCIATION FOR SERVICES FOR THE AGED,JASA CASE MANAGEMENT BK-6,CMSP,CSMG SUPPLEMENTAL,75
CASE MANAGEMENT SERVICES CONTRACTS,2MJ01,2019,JEWISH ASSOCIATION FOR SERVICES FOR THE AGED,JASA CASE MANAGEMENT BK-6,CSMG,CASE MANAGEMENT,16247
CASE MANAGEMENT SERVICES CONTRACTS,2MK01,2019,JEWISH ASSOCIATION FOR SERVICES FOR THE AGED,JASA CASE MANAGEMENT BK-7,CMSP,CSMG SUPPLEMENTAL,75
CASE MANAGEMENT SERVICES CONTRACTS,2MK01,2019,JEWISH ASSOCIATION FOR SERVICES FOR THE AGED,JASA CASE MANAGEMENT BK-7,CSMG,CASE MANAGEMENT,16825
CASE MANAGEMENT SERVICES CONTRACTS,2MP01,2019,RISEBORO COMMUNITY PARTNERSHIP INC,RIDGEWOOD BUSHWICK CASE MANAGEMENT BK-01,CMSP,CSMG SUPPLEMENTAL,1330
CASE MANAGEMENT SERVICES CONTRACTS,2MP01,2019,RISEBORO COMMUNITY PARTNERSHIP INC,RIDGEWOOD BUSHWICK CASE MANAGEMENT BK-01,CSMG,CASE MANAGEMENT,20094
CASE MANAGEMENT SERVICES CONTRACTS,3M801,2019,NEW YORK FOUNDATION FOR SENIOR CITIZENS INC,NEW YORK FOUNDATION CASE MANAGEMENT MN-1,CMSP,CSMG SUPPLEMENTAL,40
CASE MANAGEMENT SERVICES CONTRACTS,3M801,2019,NEW YORK FOUNDATION FOR SENIOR CITIZENS INC,NEW YORK FOUNDATION CASE MANAGEMENT MN-1,CSMG,CASE MANAGEMENT,50894
CASE MANAGEMENT SERVICES CONTRACTS,3M901,2019,SELFHELP COMMUNITY SERVICES INC,SELFHELP PROJECT CASE MANAGEMENT MN-2,CMSP,CSMG SUPPLEMENTAL,15
CASE MANAGEMENT SERVICES CONTRACTS,3M901,2019,SELFHELP COMMUNITY SERVICES INC,SELFHELP PROJECT CASE MANAGEMENT MN-2,CSMG,CASE MANAGEMENT,33503
CASE MANAGEMENT SERVICES CONTRACTS,3MA01,2019,LENOX HILL NEIGHBORHOOD HOUSE INC,LENOX HILL CASE MANAGEMENT MN-3,CMSP,CSMG SUPPLEMENTAL,1217
CASE MANAGEMENT SERVICES CONTRACTS,3MA01,2019,LENOX HILL NEIGHBORHOOD HOUSE INC,LENOX HILL CASE MANAGEMENT MN-3,CSMG,CASE MANAGEMENT,24540
CASE MANAGEMENT SERVICES CONTRACTS,3MB01,2019,ISABELLA GERIATRIC CENTER INC,ISABELLA CASE MANAGEMENT MN-4,CMSP,CSMG SUPPLEMENTAL,12
CASE MANAGEMENT SERVICES CONTRACTS,3MB01,2019,ISABELLA GERIATRIC CENTER INC,ISABELLA CASE MANAGEMENT MN-4,CSMG,CASE MANAGEMENT,23505
