Contract Type,Provider ID,Program Name,Sponsor Name,Program Address,Program Borough,Program Zipcode,Program Phone
NEIGHBORHOOD SENIOR CENTE,12R01,BRONX RIVER NEIGHBORHOOD SENIOR CENTER,INSTITUTE FOR THE PUERTO RICAN HISPANIC ELDERLY IN,1619 EAST 174TH ST,BRONX,10472,718-617-6334 
NEIGHBORHOOD SENIOR CENTE,12T01,COOP CITY NEIGHBORHOOD SENIOR CENTE,THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED ,2049 BARTOW AVENUE,BRONX,10475,718-320-2066 
NEIGHBORHOOD SENIOR CENTE,12T03,COOP CITY NEIGHBORHOOD SENIOR CENTE,THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED ,2049 BARTOW AVENUE,BRONX,10475,718-320-2066 
NEIGHBORHOOD SENIOR CENTE,13201,THROGS NECK NEIGHBORHOOD SENIOR CENTER,THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED ,2705 SCHLEY AVENUE,Bronx,10465,718-823-1771 
NEIGHBORHOOD SENIOR CENTE,13D01,DREISER NEIGHBORHOOD SENIOR CENTER,THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED ,177 DREISER LOOP,BRONX,10475,718-320-1345 
NEIGHBORHOOD SENIOR CENTE,15601,RAIN PARKCHESTER NEIGHBORHOOD SENIOR C,REGIONAL AID FOR INTERIM NEEDS INC ,1380 METROPOLITAN AVENUE,BRONX,10462,718-597-9220 
NEIGHBORHOOD SENIOR CENTE,15D01,PSS City Island Neighborhood Senior Center,PRESBYTERIAN SENIOR SERVICES  ,116 CITY ISLAND AVENUE,BRONX,10464,718-885-0727 
NEIGHBORHOOD SENIOR CENTE,17601,HEIGHTS NEIGHBORHOOD SENIOR CENTER,BRONXWORKS INC,200 WEST TREMONT AVENUE,BRONX,10453,718-299-0300 
NEIGHBORHOOD SENIOR CENTE,17801,HOPE OF ISRAEL NEIGHBORHOOD SENIOR CTR,HOPE OF ISRAEL SENIOR CITIZENS CENTER INC ,1068 GERARD AVENUE,BRONX,10452,718-665-8400 
NEIGHBORHOOD SENIOR CENTE,18201,MELROSE MOTT HAVEN NEIGHBORHOOD SR CTR,EAST SIDE HOUSE INC  ,372 EAST 152 STREET,BRONX,10455,718-665-2280 
NEIGHBORHOOD SENIOR CENTE,18401,NORTHEAST BRONX NEIGHBORHOOD SENIOR CT,NORTHEAST BRONX SENIOR CITIZENS INC ,2968 BRUCKNER BLVD.,BRONX,10465,718-892-6090 
NEIGHBORHOOD SENIOR CENTE,18801,RIVERDALE NEIGHBORHOOD SENIOR CENTER,RIVERDALE SENIOR SERVICES INC  ,2600 NETHERLAND AVENUE,BRONX,10463,718-884-5900 
NEIGHBORHOOD SENIOR CENTE,18901,SEBCO NEIGHBORHOOD SENIOR CENTER,SEBCO DEVELOPMENT INC  ,887 SOUTHERN BLVD.,BRONX,10459,718-617-3465 
NEIGHBORHOOD SENIOR CENTE,1A601,PSS HIGHBRIDGE NEIGHBORHOOD SENIOR CENTE,PRESBYTERIAN SENIOR SERVICES  ,1181 NELSON AVENUE,BRONX,10452,718-588-3004 
NEIGHBORHOOD SENIOR CENTE,1YH01,BRONX HOUSE WEINBERG NSC,BRONX HOUSE INC  ,990  PELHAM PARKWAY SOUTH,BRONX,10461,718-792-1800 
NEIGHBORHOOD SENIOR CENTE,20201,GRACE AGARD HAREWOOD NEIGHBORHOOD SENIOR,FORT GREENE COUNCIL ,966 FULTON STREET,BROOKLYN,11238,718-638-6910 
NEIGHBORHOOD SENIOR CENTE,20601,KRAKUS LUNCHEON CLUB NEIGHBORHOOD SC,POLISH & SLAVIC CENTER INC  ,176 JAVA STREET,BROOKLYN,11222,718-383-3324 
NEIGHBORHOOD SENIOR CENTE,20A01,SEPHARDIC MULTI SERVICE SENIOR CENTER,SEPHARDIC MULTI SERVICES SENIOR CITIZEN CENTER INC,485 KINGS HIGHWAY,BROOKLYN,11223,718-336-1300 
NEIGHBORHOOD SENIOR CENTE,20A02,House of Jacob Neighborhood Senior Center,SEPHARDIC MULTI SERVICES SENIOR CITIZEN CENTER INC,6222 23RD AVENUE,BROOKLYN,11204,718-259-0100 
NEIGHBORHOOD SENIOR CENTE,20B01,SHALOM NEIGHBORHOOD SENIOR CENTER,CROWN HEIGHTS PRESERVATION CORP ,483  ALBANY AVENUE,BROOKLYN,11203,718-774-9213 
NEIGHBORHOOD SENIOR CENTE,20D01,UNITED NEIGHBORHOOD SENIOR CITIZENS CTR,UNITED SENIOR CITIZENS OF SUNSET PARK INC ,475  EAST 53RD STREET,BROOKLYN,11220,718-439-8647 
NEIGHBORHOOD SENIOR CENTE,20F01,WILLIAMSBURG SATMAR NEIGHBORHOOD SR CTR,CONGREGATION YETEV LEV DSATMAR  ,125 HEYWARD  STREET,BROOKLYN,11206,718-625-1608 
NEIGHBORHOOD SENIOR CENTE,20J01,BROOKDALE NEIGHBORHOOD SENIOR CENTER,AGUDATH ISRAEL OF AMERICA COMMUNITY SERVICES INC ,817 AVENUE H,BROOKLYN,11230,718-854-7430 
NEIGHBORHOOD SENIOR CENTE,20Q01,INDEPENDENCE NEIGHBORHOOD SENIOR CENTER,BERGEN BASIN COMMUNITY DEVELOPMENT CORPORATION DBA,114 TAYLOR STREET,BROOKLYN,11211,718-388-9242 
NEIGHBORHOOD SENIOR CENTE,20U01,MARINE PARK ACTIVE ADULTS NEIGHBORHOOD,BERGEN BEACH YOUTH ORGANIZATION INC ,3000 FILLMORE AVENUE,BROOKLYN,11234,718-336-0275 
NEIGHBORHOOD SENIOR CENTE,20Y01,BCA NEIGHBORHOOD SENIOR CENTER,BROOKLYN CHINESE-AMERICAN ASSOCIATION INC,545 60TH STREET,BROOKLYN,11220,718-567-9311 
NEIGHBORHOOD SENIOR CENTE,21301,CCNS THE LODGE NEIGHBORHOOD SR CTR,CATHOLIC CHARITIES NEIGHBORHOOD SERVICES INC,7711 18TH AVENUE,BROOKLYN,11214,718-621-1081 
NEIGHBORHOOD SENIOR CENTE,21401,CCNS NORTHSIDE NEIGHBORHOOD SENIOR CTR,CATHOLIC CHARITIES NEIGHBORHOOD SERVICES INC,179 NORTH 6TH STREET,BROOKLYN,11211,718-387-2316 
NEIGHBORHOOD SENIOR CENTE,21601,RAICES TIMES PLAZA NEIGHBORHOOD SC,SPANISH SPEAKING ELDERLY COUNCIL RAICES INC.,460 ATLANTIC AVENUE,BROOKLYN,11217,718-694-0895 
NEIGHBORHOOD SENIOR CENTE,21604,RAICES,SPANISH SPEAKING ELDERLY COUNCIL RAICES INC.,460 ATLANTIC AVENUE,BROOKLYN,11217,718-694-0895 
NEIGHBORHOOD SENIOR CENTE,21801,BORO PARK Y NEIGHBORHOOD SENIOR CENTER,YOUNG MENS AND YOUNG WOMENS HEBREW ASSOCIATION OF ,4912 14TH AVENUE,BROOKLYN,11219,718-435-3804 
NEIGHBORHOOD SENIOR CENTE,21A01,HABER HOUSE NEIGHBORHOOD SENIOR CENTER,JEWISH COMMUNITY COUNCIL OF GREATER CONEY ISLAND I,3024  WEST 24TH STREET,BROOKLYN,11224,718-372-5775 
NEIGHBORHOOD SENIOR CENTE,21B01,MARIA LAWTON NEIGHBORHOOD SENIOR CENTER,FORT GREENE COUNCIL ,400 HART STREET,BROOKLYN,11206,718-452-7474 
NEIGHBORHOOD SENIOR CENTE,21C01,MARLBORO NEIGHBORHOOD SENIOR CENTER,JEWISH COMMUNITY COUNCIL OF GREATER CONEY ISLAND I,2298 West 8th Street,BROOKLYN,11223,718-373-6161 
NEIGHBORHOOD SENIOR CENTE,21F01,RED HOOK NEIGHBORHOOD SENIOR CENTER,SPANISH SPEAKING ELDERLY COUNCIL RAICES INC.,120 West 9th Street,BROOKLYN,11231,718-269-0519 
NEIGHBORHOOD SENIOR CENTE,21H01,ROSETTA GASTON NEIGHBORHOOD SENIOR CTR,WAYSIDE OUT-REACH DEVELOPMENT INC ,460  DUMONT AVENUE ,BROOKLYN,11212,718-345-5665 
NEIGHBORHOOD SENIOR CENTE,21J01,TILDEN NEIGHBORHOOD SENIOR CENTER,WAYSIDE OUT-REACH DEVELOPMENT INC ,630  MOTHER GASTON BLVD  ,BROOKLYN ,11212,718-498-2990 
NEIGHBORHOOD SENIOR CENTE,21K01,BLENMAN NEIGHBORHOOD SENIOR CENTER,FORT GREENE COUNCIL ,720 EAST NEW YORK AVENUE,BROOKLYN,11203,718-773-7400 
NEIGHBORHOOD SENIOR CENTE,21N01,HUGH GILROY NEIGHBORHOOD SENIOR CENTER,FORT GREENE COUNCIL ,"447 Kingsborough, 4th Walk",BROOKLYN,11233,718-756-8400 
NEIGHBORHOOD SENIOR CENTE,21P01,WILLOUGHBY NEIGHBORHOOD SENIOR CTR,FORT GREENE COUNCIL ,105 North Portland Avenue,BROOKLYN,11205,718-875-1011 
NEIGHBORHOOD SENIOR CENTE,21Q01,WYCKOFF GARDENS NEIGHBORHOOD SENIOR CTR,SPANISH SPEAKING ELDERLY COUNCIL RAICES INC.,280 WYCKOFF STREET,BROOKLYN,11217,718-237-1802 
NEIGHBORHOOD SENIOR CENTE,21T01,VAN DYKE NEIGHBORHOOD SENIOR CENTER,WAYSIDE OUT-REACH DEVELOPMENT INC ,430 DUMONT AVENUE,BROOKLYN,11212,718-385-1110 
NEIGHBORHOOD SENIOR CENTE,21U01,STUYVESANT HEIGHTS NEIGHBORHOOD SC,FORT GREENE COUNCIL ,562-574 MADISON STREET,BROOKLYN,11221,718-230-0824 
NEIGHBORHOOD SENIOR CENTE,22401,OCEAN PARKWAY NEIGHBORHOOD SENIOR CENTER,JEWISH COMMUNITY COUNCIL OF GREATER CONEY ISLAND I,1960 EAST 7TH STREET,BROOKLYN,11223,718-449-5000 
NEIGHBORHOOD SENIOR CENTE,22501,MIDWOOD NEIGHBORHOOD SENIOR CENTER,BERGEN BASIN COMMUNITY DEVELOPMENT CORPORATION DBA,2164 RALPH AVENUE,BROOKLYN,11234,718-253-5557 
NEIGHBORHOOD SENIOR CENTE,22502,MILL BASIN NEIGHBORHOOD SENIOR CENTER,BERGEN BASIN COMMUNITY DEVELOPMENT CORPORATION DBA,2075 EAST 68TH STREET,BROOKLYN,11234,718-444-3850 
NEIGHBORHOOD SENIOR CENTE,22801,CCNS NARROWS NEIGHBORHOOD SR CTR,CATHOLIC CHARITIES NEIGHBORHOOD SERVICES INC,933 54TH STREET,BROOKLYN,11219,718-232-2311 
NEIGHBORHOOD SENIOR CENTE,22A01,BENSONHURST NEIGHBORHOOD SENIOR CENTER,EDITH AND CARL MARKS JEWISH COMMUNITY HOUSE OF BEN,7802 BAY PARKWAY,BROOKLYN,11214,718-331-6800 
NEIGHBORHOOD SENIOR CENTE,22B01,SUNSET PARK NEIGHBORHOOD SENIOR CENTER,SUNSET PARK HEALTH COUNCIL INC d/b/a FAMILY HEALTH,4520 4TH AVENUE,BROOKLYN,11220,718-210-1050 
NEIGHBORHOOD SENIOR CENTE,22E01,YOUNG ISRAEL SR SERVICES NBH SR CTR,YOUNG ISRAEL PROGRAMS INC  ,1694 OCEAN AVENUE,BROOKLYN,11230,718-253-7800 
NEIGHBORHOOD SENIOR CENTE,22K01,CCNS ST LOUIS NEIGHBORHOOD SENIOR CENTER,CATHOLIC CHARITIES NEIGHBORHOOD SERVICES INC,230 KINGSTON AVENUE,BROOKLYN,11213,718-771-7945 
NEIGHBORHOOD SENIOR CENTE,22L01,SENIOR ALLIANCE NEIGHBORHOOD SENIOR CTR,THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED ,161 CORBIN PLACE,BROOKLYN,11235,718-646-4100 
NEIGHBORHOOD SENIOR CENTE,22M01,GRANT SQUARE NEIGHBORHOOD SENIOR CENTER,FORT GREENE COUNCIL ,19 Rogers Avenue,BROOKLYN,11216,718-363-3133 
NEIGHBORHOOD SENIOR CENTE,22N01,HOMECREST BENSONHURST NEIGHBORHOOD SR CT,HOMECREST COMMUNITY SERVICES INC ,7907 NEW UTRECHT AVENUE,BROOKLYN,11214,718-621-7960 
NEIGHBORHOOD SENIOR CENTE,22P01,VANDALIA NEIGHBORHOOD SENIOR CENTER,BERGEN BASIN COMMUNITY DEVELOPMENT CORPORATION DBA,47 VANDALIA AVENUE,BROOKLYN,11239,718-272-3949 
NEIGHBORHOOD SENIOR CENTE,22R01,ABE STARK NEIGHBORHOOD SENIOR CENTER,BERGEN BASIN COMMUNITY DEVELOPMENT CORPORATION DBA,10315 FARRAGUT ROAD,BROOKLYN,11236,718-272-9515 
NEIGHBORHOOD SENIOR CENTE,22T01,JAY-HARAMA NEIGHBORHOOD SENIOR CENTER,JEWISH COMMUNITY COUNCIL OF GREATER CONEY ISLAND I,2600 OCEAN AVENUE,BROOKLYN,11229,718-891-1110 
NEIGHBORHOOD SENIOR CENTE,22Y01,SAINT GABRIELS NEIGHBORHOOD SENIOR CTR,ST GABRIELS EPISCOPAL CHURCH  ,331 HAWTHORNE STREET,BROOKLYN,11225,718-773-4049 
NEIGHBORHOOD SENIOR CENTE,23201,MANHATTAN BEACH NEIGHBORHOOD SENIOR CTR,THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED ,60 WEST END AVENUE,BROOKLYN,11235,718-646-1118 
NEIGHBORHOOD SENIOR CENTE,23801,AMICO 59TH ST NEIGHBORHOOD SR CITIZENS C,AMERICAN ITALIAN COALITION OF ORGANIZATIONS INC AM,5901 13TH AVENUE,BROOKLYN,11219,718-972-1558 
NEIGHBORHOOD SENIOR CENTE,23B01,CCNS GLENWOOD NEIGHBORHOOD SENIOR CENTER,CATHOLIC CHARITIES NEIGHBORHOOD SERVICES INC,5701 AVENUE H,BROOKLYN,11234,718-241-7711 
NEIGHBORHOOD SENIOR CENTE,23C01,CCNS THE BAY NEIGHBORHOOD SENIOR CENTER,CATHOLIC CHARITIES NEIGHBORHOOD SERVICES INC,3643 NOSTRAND AVENUE,BROOKLYN,11229,718-648-2053 
NEIGHBORHOOD SENIOR CENTE,23E01,LUNA PARK NEIGHBORHOOD SENIOR CENTER,THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED ,2880 WEST 12TH STREET,BROOKLYN,11224,718-996-6666 
NEIGHBORHOOD SENIOR CENTE,23F01,TOMPKINS PARK NEIGHBORHOOD SENIOR CENTER,WAYSIDE OUT-REACH DEVELOPMENT INC ,550 GREENE AVENUE,BROOKLYN,11216,718-638-3000 
NEIGHBORHOOD SENIOR CENTE,23F02,ARMSTRONG SOCIAL CLUB,WAYSIDE OUT-REACH DEVELOPMENT INC ,360 NOSTRAND AVENUE,BROOKLYN,11216,718-638-3000 
NEIGHBORHOOD SENIOR CENTE,23G01,ALBANY NEIGHBORHOOD SENIOR CENTER,FORT GREENE COUNCIL ,196 ALBANY AVENUE,BROOKLYN,11213,718-773-2600 
NEIGHBORHOOD SENIOR CENTE,23H01,HAZEL BROOKS NEIGHBORHOOD SENIOR CENTER,FORT GREENE COUNCIL ,961 OCEAN AVENUE,BROOKLYN,11226,347-435-3287 
NEIGHBORHOOD SENIOR CENTE,23K01,CCNS PETE MCGUINNESS NEIGHBORHOOD SR CTR,CATHOLIC CHARITIES NEIGHBORHOOD SERVICES INC,715 LEONARD STREET,BROOKLYN,11222,718-383-1940 
NEIGHBORHOOD SENIOR CENTE,23L01,CCNS ST CHARLES NEIGHBORHOOD SENIOR CENT,CATHOLIC CHARITIES NEIGHBORHOOD SERVICES INC,55 PIERREPONT STREET,BROOKLYN,11201,718-855-0326 
NEIGHBORHOOD SENIOR CENTE,23R01,REMSEN NEIGHBORHOOD SENIOR CENTER,FORT GREENE COUNCIL ,3304 CLARENDON ROAD,BROOKLYN,11203,718-282-1259 
NEIGHBORHOOD SENIOR CENTE,23Y01,TERESA MOORE NEIGHBORHOOD SENIOR CENTER,FORT GREENE COUNCIL ,2702 LINDEN BLVD,BROOKLYN,11208,347-663-7770 
NEIGHBORHOOD SENIOR CENTE,24A01,ROUNDTABLE NEIGHBORHOOD SENIOR CENTER,RISEBORO COMMUNITY PARTNERSHIP INC,1175 GATES AVENUE,BROOKLYN,11221,718-443-1903 
NEIGHBORHOOD SENIOR CENTE,24A02,SARATOGA SQUARE SENIOR CENTER,RISEBORO COMMUNITY PARTNERSHIP INC,930  HALSEY STREET,BROOKLYN,11233,347-425-0676 
NEIGHBORHOOD SENIOR CENTE,24A03,BREVOORT SOCIAL CLUB,RISEBORO COMMUNITY PARTNERSHIP INC,280 RALPH AVENUE,BROOKLYN,11233,347-318-3383 
NEIGHBORHOOD SENIOR CENTE,24A04,STUYVESSANT GARDENS SOCIAL CLUB,RISEBORO COMMUNITY PARTNERSHIP INC,150 MALCOLM X BOULEVARD,BROOKLYN,11221,347-318-3313 
NEIGHBORHOOD SENIOR CENTE,24A05,Palmetto Gardens Social Club,RISEBORO COMMUNITY PARTNERSHIP INC,85 PALMETTO STREET,BROOKLYN,11221,718-676-0876 
NEIGHBORHOOD SENIOR CENTE,24H01,RIDGEWOOD BUSHWICK NEIGHBORHOOD SC,RISEBORO COMMUNITY PARTNERSHIP INC,319 STANHOPE STREET,BROOKLYN,11237,718-366-3038 
NEIGHBORHOOD SENIOR CENTE,24L01,BORINQUEN PLAZ NUTRITION NEIGHBORHOOD SC,RISEBORO COMMUNITY PARTNERSHIP INC,80 SEIGEL STREET,BROOKLYN,11206,718-732-6334 
NEIGHBORHOOD SENIOR CENTE,24P01,HOPE GARDENS MULTI SERVICE NSC,RISEBORO COMMUNITY PARTNERSHIP INC,195 LINDEN STREET,BROOKLYN,11221,718-455-1100 
NEIGHBORHOOD SENIOR CENTE,25W01,SHEUER HOUSE OF CI NEIGHBORHOOD SR CTR,THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED ,3601 SURF AVENUE,BROOKLYN,11224,718-373-3954 
NEIGHBORHOOD SENIOR CENTE,26301,BORO PARK NEIGHBORHOOD SENIOR CENTER,AGUDATH ISRAEL OF AMERICA COMMUNITY SERVICES INC ,5602 11TH AVENUE,BROOKLYN,11219,718-854-7430 
NEIGHBORHOOD SENIOR CENTE,26401,SHOREFRONT NEIGHBORHOOD SENIOR CENTER,THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED ,3300 CONEY ISLAND AVENUE,BROOKLYN,11235,718-646-1444 
NEIGHBORHOOD SENIOR CENTE,26601,JASA STARRETT CITY NEIGHBORHOOD SR CTR,THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED ,1540 VAN SICLEN AVENUE,BROOKLYN,11239,718-642-1010 
NEIGHBORHOOD SENIOR CENTE,26W01,WILLIAMSBURG NEIGHBORHOOD SENIOR CENTER,THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED ,202 GRAHAM AVENUE,BROOKLYN,11206,718-388-6865 
NEIGHBORHOOD SENIOR CENTE,27401,SR CITIZENS LEAGUE OF MIDWOOD NBH SR. CT,SENIOR CITIZENS LEAGUE OF FLATBUSH INC ,1625  OCEAN AVENUE,BROOKLYN,11230,718-253-0508 
NEIGHBORHOOD SENIOR CENTE,27801,LOS SURES DAVID SANTIAGO NEIGHBORHOOD SC,SOUTHSIDE UNITED HOUSING DEVELOPMENT FUND CORP ,201 SOUTH  4TH STREET,BROOKLYN,11211,718-384-2314 
NEIGHBORHOOD SENIOR CENTE,27802,SWINGING 60S SENIOR CENTER,SOUTHSIDE UNITED HOUSING DEVELOPMENT FUND CORP ,211 Ainslie Street,BROOKLYN,11211,718-963-3793 
NEIGHBORHOOD SENIOR CENTE,27W01,SHORE HILL NEIGHBORHOOD SENIOR CENTER,SUNSET PARK HEALTH COUNCIL INC d/b/a FAMILY HEALTH,9000 SHORE ROAD,BROOKLYN,11209,718-680-7689 
NEIGHBORHOOD SENIOR CENTE,27X01,BAY RIDGE NEIGHBORHOOD SENIOR CENTER,BAY RIDGE CENTER INC d/b/a BAY RIDGE CENTER,411 OVINGTON AVENUE,BROOKLYN,11209,718-748-0650 
NEIGHBORHOOD SENIOR CENTE,28301,HES NEIGHBORHOOD SENIOR CENTER,THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED ,9502 SEAVIEW AVENUE,BROOKLYN,11236,212-273-5270 
NEIGHBORHOOD SENIOR CENTE,28701,CYPRESS HILLS FULTON ST NBH SR CTZ CTR,CYPRESS HILLS-FULTON STREET SENIOR CITIZENS CENTER,3208 FULTON STREET,BROOKLYN,11208,718-235-0064 
NEIGHBORHOOD SENIOR CENTE,28703,CYPRESS HILLS FULTON ST NBH SR CTZ CTR,CYPRESS HILLS-FULTON STREET SENIOR CITIZENS CENTER,2049 FULTON STREET,BROOKLYN,11208,718-235-0064 
NEIGHBORHOOD SENIOR CENTE,28801,DORCHESTER NEIGHBORHOOD SR CITIZENS CTR,DORCHESTER SENIOR CITIZENS CENTER INC ,1419 DORCHESTER ROAD,BROOKLYN,11226,718-941-6700 
NEIGHBORHOOD SENIOR CENTE,28901,PARK SLOPE CENTER FOR SUCCESSFUL AGING,"HEIGHTS AND HILLS, INC. ",463A 7TH STREET,BROOKLYN,11215,718-832-3726 
NEIGHBORHOOD SENIOR CENTE,28D01,AMICO Eileen Dugan Neighborhood Senior Center,AMERICAN ITALIAN COALITION OF ORGANIZATIONS INC\AM,378 COURT STREET,BROOLYN,11231,718-596-1956 
NEIGHBORHOOD SENIOR CENTE,28K01,CCNS Riverway Innovative Senior Center,CATHOLIC CHARITIES NEIGHBORHOOD SERVICES INC,230 RIVERDALE AVENUE,BROOKLYN,11212,718-942-5345 
NEIGHBORHOOD SENIOR CENTE,29101,COUNCIL CENTER FOR SENIOR CITIZENS NSC,"BROOKLYN SECTION NATIONAL COUNCIL OF JEWISH WOMEN,",1001 QUENTIN ROAD,BROOKLYN,11223,718-627-7680 
NEIGHBORHOOD SENIOR CENTE,29701,SR CITIZENS LEAGUE OF FLATBUSH NBH SR CT,SENIOR CITIZENS LEAGUE OF FLATBUSH INC ,870 OCEAN PARKWAY,BROOKLYN,11230,718-438-7771 
NEIGHBORHOOD SENIOR CENTE,30501,ARC XVI FT WASHINGTON NSC,ARC XVI FORT WASHINGTON INC  ,4111 BROADWAY,NEW YORK,10033,212-781-5700 
NEIGHBORHOOD SENIOR CENTE,30A01,COTHOA LUNCHEON CLUB NEIGHBORHOOD SC,COTHOA LUNCHEON CLUB INC  ,2005 AMSTERDAM AVENUE,NEW YORK,10032,212-781-6580 
NEIGHBORHOOD SENIOR CENTE,30A04,Bethune Neighborhood Senior Center,COTHOA LUNCHEON CLUB INC  ,1970 AMSTERDAM AVENUE,NEW YORK,10032,646-918-7710 
NEIGHBORHOOD SENIOR CENTE,30B01,GRAND COALITION OF SENIORS NSC,GRAND STREET SETTLEMENT INC  ,80 PITT STREET,NEW YORK,10002,646-201-4251 
NEIGHBORHOOD SENIOR CENTE,30H01,NY CHINATOWN NEIGHBORHOOD SENIOR CENTER,CHINESE AMERICAN PLANNING COUNCIL INC,70 MULBERRY STREET,NEW YORK,10013,212-233-8930 
NEIGHBORHOOD SENIOR CENTE,30J01,STEIN NEIGHBORHOOD SENIOR CENTER,STEIN SENIOR CENTER INC,204 EAST 23RD STREET,NEW YORK,10010,646-395-8083 
NEIGHBORHOOD SENIOR CENTE,30L01,WASHINGTON HEIGHTS NEIGHBORHOOD SR CTR,WASHINGTON HEIGHTS COMMUNITY SERVICE INC ,650 WEST 187TH STREET,NEW YORK,10033,212-781-8331 
NEIGHBORHOOD SENIOR CENTE,30U01,DYCKMAN NEIGHBORHOOD SENIOR CENTER,NEW YORK FOUNDATION FOR SENIOR CITIZENS INC ,3754 10TH AVENUE,NEW YORK,10034,212-569-7790 
NEIGHBORHOOD SENIOR CENTE,30V01,GODDARD RIVERSIDE NEIGHBORHOOD SC,GODDARD-RIVERSIDE COMMUNITY CENTER ,593 COLUMBUS AVENUE,NEW YORK,10024,212-873-6600 
NEIGHBORHOOD SENIOR CENTE,30W01,JUDITH C WHITE NEIGHBORHOOD SENIOR CTR,"GREENWICH HOUSE, INC. ",27 BARROW STREET,NEW YORK,10014,212-242-4140 
NEIGHBORHOOD SENIOR CENTE,30X01,CITY HALL NEIGHBORHOOD SENIOR CENTER,HAMILTON MADISON HOUSE INC  ,100 GOLD STREET,NEW YORK,10038,212-788-5580 
NEIGHBORHOOD SENIOR CENTE,30Y01,LAGUARDIA NEIGHBORHOOD SENIOR CENTER,NEW YORK FOUNDATION FOR SENIOR CITIZENS INC ,280 CHERRY STREET,NEW YORK ,10002,212-732-3656 
NEIGHBORHOOD SENIOR CENTE,31201,CARTER BURDEN LUNCHEON CLUB NSC,"CARTER BURDEN NETWORK, INC.",451 EAST 74TH STREET,NEW YORK,10021,212-535-5235 
NEIGHBORHOOD SENIOR CENTE,31202,Carter Burden Roosevelt Island Neighborhood Senior,"CARTER BURDEN NETWORK, INC.",546 MAIN STREET,NEW YORK,10044,212-980-1888 
NEIGHBORHOOD SENIOR CENTE,31801,GAYLORD WHITE NEIGHBORHOOD SENIOR CENTER,UNION SETTLEMENT ASSOCIATION ,2029 SECOND AVENUE,NEW YORK,10029,212-828-6055 
NEIGHBORHOOD SENIOR CENTE,31D01,STANLEY ISAACS NEIGHBORHOOD SENIOR CTR,STANLEY M ISAACS NEIGHBORHOOD CENTER INC ,415 EAST 93RD STREET,NEW YORK,10128,212-666-4910 
NEIGHBORHOOD SENIOR CENTE,31G01,MORIAH OLDER ADULT LUNCHEON NSC,AGUDATH ISRAEL OF AMERICA COMMUNITY SERVICES INC ,90 BENNETT AVENUE,NEW YORK,10033,212-923-5715 
NEIGHBORHOOD SENIOR CENTE,31J01,JEFFERSON HOUSES NSC,UNION SETTLEMENT ASSOCIATION ,2205 FIRST AVENUE,NEW YORK,10029,212-828-6104 
NEIGHBORHOOD SENIOR CENTE,31J02,WASHINGTON LEXINGTON SENIOR CENTER,UNION SETTLEMENT ASSOCIATION ,1775 THIRD AVENUE,NEW YORK,10029,212-828-6104 
NEIGHBORHOOD SENIOR CENTE,31K01,WEINBERG CENTER FOR BALANCED LIVING,THE EDUCATIONAL ALLIANCE INC  ,197 EAST BROADWAY,NEW YORK,10002,646-395-4270 
NEIGHBORHOOD SENIOR CENTE,31U01,FIND AID COFFEEHOUSE NSC,FIND AID FOR THE AGED  ,331 WEST 42ND STREET,NEW YORK,10036,646-545-4621 
NEIGHBORHOOD SENIOR CENTE,31V01,FOOD BANK NEIGHBORHOOD SENIOR CENTER,FOOD BANK FOR NEW YORK CITY,252 WEST 116TH STREET,New York,10026,212-566-7855 
NEIGHBORHOOD SENIOR CENTE,31Y01,CENTER ON THE SQUARE NSC,"GREENWICH HOUSE, INC. ",20 WASHINGTON SQUARE NORTH,NEW YORK,10011,212-777-3555 
NEIGHBORHOOD SENIOR CENTE,32101,INDEPENDENCE PLAZA NEIGHBORHOOD SR CTR,"GREENWICH HOUSE, INC. ",310 GREENWICH STREET,NEW YORK,10013,212-267-0499 
NEIGHBORHOOD SENIOR CENTE,32301,EAST HARLEM NEIGHBORHOOD SENIOR CENTER,EAST HARLEM COUNCIL FOR HUMAN SERVICES INC ,150 EAST 121ST STREET,NEW YORK,10035,212-722-2205 
NEIGHBORHOOD SENIOR CENTE,32601,WEST 65TH STREET CENTER,GODDARD-RIVERSIDE COMMUNITY CENTER ,250 WEST 65th STREET,New York,10023,212-874-0860 
NEIGHBORHOOD SENIOR CENTE,32602,WEST 65TH STREET CENTER,GODDARD-RIVERSIDE COMMUNITY CENTER ,250 WEST 65th STREET,New York,10023,212-874-0860 
NEIGHBORHOOD SENIOR CENTE,32701,JACKIE ROBINSON NEIGHBORHOOD SENIOR CTR,CHARLES A WALBURG MULTI SERVICE ORGANIZATION INC ,1301 AMSTERDAM AVENUE,NEW YORK,10027,212-666-4910 
